Exchange,diffconstant,concentration im mM,category
EX_btn(e),6.70E-06,0.001,essential
EX_ca2(e),2.00E-05,0.001,essential
EX_cgly(e),6.70E-06,0.001,essential
EX_cl(e),2.00E-05,0.001,essential
EX_cobalt2(e),2.00E-05,0.001,essential
EX_cu2(e),2.00E-05,0.001,essential
EX_fe2(e),2.00E-05,0.001,essential
EX_fe3(e),6.70E-06,0.001,essential
EX_k(e),2.00E-05,0.001,essential
EX_mg2(e),2.00E-05,0.001,essential
EX_mn2(e),2.00E-05,0.001,essential
EX_pi(e),2.00E-05,0.001,essential
EX_ribflv(e),6.70E-06,0.001,essential
EX_so4(e),2.00E-05,0.001,essential
EX_spmd(e),6.70E-06,0.001,essential
EX_zn2(e),2.00E-05,0.001,essential
EX_pydx(e),6.70E-06,0.001,essential
EX_cit(e),6.70E-06,0.001,essential
EX_h2s(e),2.00E-05,0.001,essential
EX_pheme(e),6.70E-06,0.001,essential
EX_val_L(e),6.70E-06,0.001,essential
EX_ocdca(e),6.70E-06,0.001,essential
EX_q8(e),6.70E-06,0.001,essential
EX_ile_L(e),6.70E-06,0.001,essential
EX_thm(e),6.70E-06,0.001,essential
EX_pnto_R(e),6.70E-06,0.001,essential
EX_mqn7(e),6.70E-06,0.001,essential
EX_26dap_M(e),6.70E-06,0.001,essential
EX_mqn8(e),6.70E-06,0.001,essential
EX_kestopt(e),6.70E-06,0.0001,normal
EX_raffin(e),6.70E-06,0.0001,normal
EX_stys(e),6.70E-06,0.0001,normal
EX_arabinan101(e),6.70E-06,0.0001,normal
EX_arabinogal(e),6.70E-06,0.0001,normal
EX_dextran40(e),6.70E-06,0.0001,normal
EX_inulin(e),6.70E-06,0.0001,normal
EX_levan1000(e),6.70E-06,0.0001,normal
EX_pecticgal(e),6.70E-06,0.0001,normal
EX_pect(e),6.70E-06,0.0001,normal
EX_pullulan1200(e),6.70E-06,0.0001,normal
EX_rhamnogalurI(e),6.70E-06,0.0001,normal
EX_rhamnogalurII(e),6.70E-06,0.0001,normal
EX_2omfuc(e),6.70E-06,0.0001,normal
EX_2omxyl(e),6.70E-06,0.0001,normal
EX_apio-D(e),6.70E-06,0.0001,normal
EX_3ddlhept(e),6.70E-06,0.0001,normal
EX_cellb(e),6.70E-06,0.0001,normal
EX_levanb(e),6.70E-06,0.0001,normal
EX_levanttr(e),6.70E-06,0.0001,normal
EX_levantttr(e),6.70E-06,0.0001,normal
EX_mannan(e),6.70E-06,0.0001,normal
EX_kestottr(e),6.70E-06,0.0001,normal
EX_kesto(e),6.70E-06,0.0001,normal
EX_acgam(e),0,0,mucin
EX_cspg_b(e),0,0,mucin
EX_cspg_c(e),0,0,mucin
EX_cspg_a_degr(e),0,0,mucin
EX_cspg_b_degr(e),0,0,mucin
EX_cspg_c_degr(e),0,0,mucin
EX_cspg_ab_rest(e),0,0,mucin
EX_cspg_c_rest(e),0,0,mucin
EX_acgalglcur(e),0,0,mucin
EX_acgalidour(e),0,0,mucin
EX_acgalidour2s(e),0,0,mucin
EX_acgal(e),0,0,mucin
EX_hspg(e),0,0,mucin
EX_hspg_degr_1(e),0,0,mucin
EX_hspg_degr_2(e),0,0,mucin
EX_hspg_degr_3(e),0,0,mucin
EX_hspg_degr_4(e),0,0,mucin
EX_hspg_degr_5(e),0,0,mucin
EX_hspg_degr_6(e),0,0,mucin
EX_hspg_degr_7(e),0,0,mucin
EX_hspg_degr_8(e),0,0,mucin
EX_hspg_degr_9(e),0,0,mucin
EX_hspg_degr_10(e),0,0,mucin
EX_hspg_degr_11(e),0,0,mucin
EX_hspg_degr_12(e),0,0,mucin
EX_hspg_degr_13(e),0,0,mucin
EX_hspg_degr_14(e),0,0,mucin
EX_hspg_degr_15(e),0,0,mucin
EX_hspg_rest(e),0,0,mucin
EX_homogal(e),0,0,mucin
EX_ha(e),0,0,mucin
EX_ha_deg1(e),0,0,mucin
EX_ha_pre1(e),0,0,mucin
EX_T_antigen(e),0,0,mucin
EX_Tn_antigen(e),0,0,mucin
EX_core2(e),0,0,mucin
EX_core3(e),0,0,mucin
EX_core4(e),0,0,mucin
EX_core5(e),0,0,mucin
EX_core6(e),0,0,mucin
EX_core7(e),0,0,mucin
EX_core8(e),0,0,mucin
EX_dsT_antigen(e),0,0,mucin
EX_f1a(e),0,0,mucin
EX_gncore1(e),0,0,mucin
EX_gncore2(e),0,0,mucin
EX_sT_antigen(e),0,0,mucin
EX_sTn_antigen(e),0,0,mucin
EX_acnam(e),0,0,mucin
EX_mantr(e),6.70E-06,0.0001,normal
EX_dextrin(e),6.70E-06,0.0001,normal
EX_amylopect900(e),6.70E-06,0.0001,normal
EX_amylose300(e),6.70E-06,0.0001,normal
EX_strch1(e),6.70E-06,0.0001,normal
EX_strch2(e),6.70E-06,0.0001,normal
EX_alaasp(e),6.70E-06,0.0001,normal
EX_alagln(e),6.70E-06,0.0001,normal
EX_alaglu(e),6.70E-06,0.0001,normal
EX_alagly(e),6.70E-06,0.0001,normal
EX_alahis(e),6.70E-06,0.0001,normal
EX_alaleu(e),6.70E-06,0.0001,normal
EX_alathr(e),6.70E-06,0.0001,normal
EX_arab_L(e),6.70E-06,0.0001,normal
EX_arbt(e),6.70E-06,0.0001,normal
EX_aso3(e),2.00E-05,0.0001,normal
EX_aso4(e),2.00E-05,0.0001,normal
EX_bhb(e),6.70E-06,0.0001,normal
EX_biomass(e),6.70E-06,0.0001,normal
EX_cd2(e),2.00E-05,0.0001,normal
EX_chol(e),6.70E-06,0.0001,normal
EX_chols(e),6.70E-06,0.0001,normal
EX_co2(e),2.00E-05,0.0001,normal
EX_crn(e),6.70E-06,0.0001,normal
EX_cro4(e),2.00E-05,0.0001,normal
EX_fecrm(e),6.70E-06,0.0001,normal
EX_fru(e),6.70E-06,0.0001,normal
EX_galt(e),6.70E-06,0.0001,normal
EX_glc(e),6.70E-06,0.0001,normal
EX_gln_L(e),6.70E-06,0.0001,normal
EX_glu_L(e),6.70E-06,0.0001,normal
EX_glyasn(e),6.70E-06,0.0001,normal
EX_glyasp(e),6.70E-06,0.0001,normal
EX_glyb(e),6.70E-06,0.0001,normal
EX_glyc(e),6.70E-06,0.0001,normal
EX_glyc3p(e),6.70E-06,0.0001,normal
EX_glycys(e),6.70E-06,0.0001,normal
EX_glygln(e),6.70E-06,0.0001,normal
EX_glyglu(e),6.70E-06,0.0001,normal
EX_glyleu(e),6.70E-06,0.0001,normal
EX_glymet(e),6.70E-06,0.0001,normal
EX_glyphe(e),6.70E-06,0.0001,normal
EX_glypro(e),6.70E-06,0.0001,normal
EX_glytyr(e),6.70E-06,0.0001,normal
EX_h(e),2.00E-05,0.0001,normal
EX_h2o(e),2.00E-05,0.0001,normal
EX_hg2(e),2.00E-05,0.0001,normal
EX_hxan(e),6.70E-06,0.0001,normal
EX_lac_L(e),6.70E-06,0.0001,normal
EX_lys_L(e),6.70E-06,0.0001,normal
EX_malt(e),6.70E-06,0.0001,normal
EX_man(e),6.70E-06,0.0001,normal
EX_melib(e),6.70E-06,0.0001,normal
EX_met_D(e),6.70E-06,0.0001,normal
EX_met_L(e),6.70E-06,0.0001,normal
EX_metala(e),6.70E-06,0.0001,normal
EX_metsox_R_L(e),6.70E-06,0.0001,normal
EX_metsox_S_L(e),6.70E-06,0.0001,normal
EX_mnl(e),6.70E-06,0.0001,normal
EX_na1(e),2.00E-05,0.0001,normal
EX_nh4(e),2.00E-05,0.0001,normal
EX_o2(e),2.00E-05,0.0001,normal
EX_pb(e),2.00E-05,0.0001,normal
EX_pro_L(e),6.70E-06,0.0001,normal
EX_ptrc(e),6.70E-06,0.0001,normal
EX_salcn(e),6.70E-06,0.0001,normal
EX_sbt_d(e),6.70E-06,0.0001,normal
EX_sucr(e),6.70E-06,0.0001,normal
EX_urea(e),6.70E-06,0.0001,normal
EX_xan(e),6.70E-06,0.0001,normal
EX_xyl_D(e),6.70E-06,0.0001,normal
EX_pydxn(e),6.70E-06,0.0001,normal
EX_pydam(e),6.70E-06,0.0001,normal
EX_gal(e),6.70E-06,0.0001,normal
EX_gly(e),6.70E-06,0.0001,normal
EX_cys_L(e),6.70E-06,0.0001,normal
EX_ala_L(e),6.70E-06,0.0001,normal
EX_asp_L(e),6.70E-06,0.0001,normal
EX_his_L(e),6.70E-06,0.0001,normal
EX_leu_L(e),6.70E-06,0.0001,normal
EX_thr_L(e),6.70E-06,0.0001,normal
EX_asn_L(e),6.70E-06,0.0001,normal
EX_phe_L(e),6.70E-06,0.0001,normal
EX_tyr_L(e),6.70E-06,0.0001,normal
EX_ser_L(e),6.70E-06,0.0001,normal
EX_nac(e),6.70E-06,0.0001,normal
EX_for(e),6.70E-06,0.0001,normal
EX_ac(e),6.70E-06,0.0001,normal
EX_lac_D(e),6.70E-06,0.0001,normal
EX_etoh(e),6.70E-06,0.0001,normal
EX_acald(e),6.70E-06,0.0001,normal
EX_but(e),6.70E-06,0.0001,normal
EX_succ(e),6.70E-06,0.0001,normal
EX_4abut(e),6.70E-06,0.0001,normal
EX_chtbs(e),6.70E-06,0.0001,normal
EX_oxa(e),6.70E-06,0.0001,normal
EX_gcald(e),6.70E-06,0.0001,normal
EX_adn(e),6.70E-06,0.0001,normal
EX_adpcbl(e),6.70E-06,0.0001,normal
EX_arsenb(e),6.70E-06,0.0001,normal
EX_cbl1(e),6.70E-06,0.0001,normal
EX_cbl2(e),6.70E-06,0.0001,normal
EX_ctbt(e),6.70E-06,0.0001,normal
EX_cytd(e),6.70E-06,0.0001,normal
EX_dad_2(e),6.70E-06,0.0001,normal
EX_dcyt(e),6.70E-06,0.0001,normal
EX_dgsn(e),6.70E-06,0.0001,normal
EX_din(e),6.70E-06,0.0001,normal
EX_duri(e),6.70E-06,0.0001,normal
EX_galur(e),6.70E-06,0.0001,normal
EX_gbbtn(e),6.70E-06,0.0001,normal
EX_glcur(e),6.70E-06,0.0001,normal
EX_gsn(e),6.70E-06,0.0001,normal
EX_ins(e),6.70E-06,0.0001,normal
EX_ppi(e),2.00E-05,0.0001,normal
EX_rmn(e),6.70E-06,0.0001,normal
EX_thymd(e),6.70E-06,0.0001,normal
EX_ura(e),6.70E-06,0.0001,normal
EX_uri(e),6.70E-06,0.0001,normal
EX_h2(e),2.00E-05,0.0001,normal
EX_no2(e),2.00E-05,0.0001,normal
EX_2obut(e),6.70E-06,0.0001,normal
EX_arg_L(e),6.70E-06,0.0001,normal
EX_ind3ac(e),6.70E-06,0.0001,normal
EX_ppa(e),6.70E-06,0.0001,normal
EX_isobut(e),6.70E-06,0.0001,normal
EX_isoval(e),6.70E-06,0.0001,normal
EX_isocapr(e),6.70E-06,0.0001,normal
EX_trp_L(e),6.70E-06,0.0001,normal
EX_indole(e),6.70E-06,0.0001,normal
EX_pac(e),6.70E-06,0.0001,normal
EX_malttr(e),6.70E-06,0.0001,normal
EX_cspg_a(e),6.70E-06,0.0001,normal
EX_idour(e),6.70E-06,0.0001,normal
EX_fuc_L(e),6.70E-06,0.0001,normal
EX_12ppd_S(e),6.70E-06,0.0001,normal
EX_gam(e),6.70E-06,0.0001,normal
EX_glygn2(e),6.70E-06,0.0001,normal
EX_glygn4(e),6.70E-06,0.0001,normal
EX_glygn5(e),6.70E-06,0.0001,normal
EX_Tyr_ggn(e),6.70E-06,0.0001,normal
EX_gam26s(e),6.70E-06,0.0001,normal
EX_meoh(e),2.00E-05,0.0001,normal
EX_lcts(e),6.70E-06,0.0001,normal
EX_acerA(e),6.70E-06,0.0001,normal
EX_kdo(e),6.70E-06,0.0001,normal
EX_rib_D(e),6.70E-06,0.0001,normal
EX_tre(e),6.70E-06,0.0001,normal
EX_arabttr(e),6.70E-06,0.0001,normal
EX_ddca(e),6.70E-06,0.0001,normal
EX_ttdca(e),6.70E-06,0.0001,normal
EX_hdca(e),6.70E-06,0.0001,normal
EX_dpcoa(e),6.70E-06,0.0001,normal
EX_drib(e),6.70E-06,0.0001,normal
EX_malthx(e),6.70E-06,0.0001,normal
EX_no3(e),2.00E-05,0.0001,normal
EX_taur(e),6.70E-06,0.0001,normal
EX_2ddglcn(e),6.70E-06,0.0001,normal
EX_Lcyst(e),6.70E-06,0.0001,normal
EX_butso3(e),2.00E-05,0.0001,normal
EX_etha(e),2.00E-05,0.0001,normal
EX_ethso3(e),2.00E-05,0.0001,normal
EX_fum(e),6.70E-06,0.0001,normal
